lambda,seed,residuum,penalty,warmup,mode,split,acc_fine,acc_coarse,exact,consist,soft_viol,epochs,timestamp
0.5,2,lukasiewicz,linear,3,marginal,val,24.1200,38.4000,22.2800,81.5400,0.023621,20,2026-07-19T22:37:32
0.5,2,lukasiewicz,linear,3,raw,test,24.1300,36.5800,20.5200,74.4200,0.024261,20,2026-07-19T22:37:33
0.5,2,lukasiewicz,linear,3,hard,test,24.1300,37.6600,24.1300,100.0000,0.024261,20,2026-07-19T22:37:33
0.5,2,lukasiewicz,linear,3,marginal,test,24.1300,37.9800,21.9200,82.9800,0.024261,20,2026-07-19T22:37:33
0.5,3,lukasiewicz,linear,3,raw,val,24.1600,37.2400,20.9800,74.8400,0.022477,20,2026-07-19T22:40:57
0.5,3,lukasiewicz,linear,3,hard,val,24.1600,36.9800,24.1600,100.0000,0.022477,20,2026-07-19T22:40:57
0.5,3,lukasiewicz,linear,3,marginal,val,24.1600,38.1400,22.3600,83.6200,0.022477,20,2026-07-19T22:40:57
0.5,3,lukasiewicz,linear,3,raw,test,24.7100,37.5500,21.1600,74.4300,0.022805,20,2026-07-19T22:40:58
0.5,3,lukasiewicz,linear,3,hard,test,24.7100,38.2800,24.7100,100.0000,0.022805,20,2026-07-19T22:40:58
0.5,3,lukasiewicz,linear,3,marginal,test,24.7100,38.9400,22.7000,82.5100,0.022805,20,2026-07-19T22:40:58
0.5,4,lukasiewicz,linear,3,raw,val,24.1400,38.1200,21.0200,73.3600,0.026113,20,2026-07-19T22:44:06
0.5,4,lukasiewicz,linear,3,hard,val,24.1400,37.9000,24.1400,100.0000,0.026113,20,2026-07-19T22:44:06
0.5,4,lukasiewicz,linear,3,marginal,val,24.1400,38.1400,22.1000,82.2000,0.026113,20,2026-07-19T22:44:06
0.5,4,lukasiewicz,linear,3,raw,test,24.7600,38.1100,21.1800,74.1300,0.025159,20,2026-07-19T22:44:07
0.5,4,lukasiewicz,linear,3,hard,test,24.7600,38.4300,24.7600,100.0000,0.025159,20,2026-07-19T22:44:07
0.5,4,lukasiewicz,linear,3,marginal,test,24.7600,38.5900,22.7200,83.3300,0.025159,20,2026-07-19T22:44:07
1,0,lukasiewicz,linear,3,raw,val,24.3000,37.1000,21.0600,76.1200,0.014732,20,2026-07-19T22:47:19
1,0,lukasiewicz,linear,3,hard,val,24.3000,38.1200,24.3000,100.0000,0.014732,20,2026-07-19T22:47:19
1,0,lukasiewicz,linear,3,marginal,val,24.3000,37.9600,21.8600,82.4200,0.014732,20,2026-07-19T22:47:19
1,0,lukasiewicz,linear,3,raw,test,24.6800,37.3900,21.4600,75.9500,0.015158,20,2026-07-19T22:47:19
1,0,lukasiewicz,linear,3,hard,test,24.6800,37.9800,24.6800,100.0000,0.015158,20,2026-07-19T22:47:19
1,0,lukasiewicz,linear,3,marginal,test,24.6800,38.4100,22.7100,82.4600,0.015158,20,2026-07-19T22:47:19
1,1,lukasiewicz,linear,3,raw,val,24.0000,36.8600,20.7800,76.2600,0.015006,20,2026-07-19T22:50:29
1,1,lukasiewicz,linear,3,hard,val,24.0000,37.5400,24.0000,100.0000,0.015006,20,2026-07-19T22:50:29
1,1,lukasiewicz,linear,3,marginal,val,24.0000,37.9200,21.9600,83.0000,0.015006,20,2026-07-19T22:50:29
1,1,lukasiewicz,linear,3,raw,test,24.1800,37.6100,20.8400,75.8000,0.014066,20,2026-07-19T22:50:30
1,1,lukasiewicz,linear,3,hard,test,24.1800,38.0900,24.1800,100.0000,0.014066,20,2026-07-19T22:50:30
1,1,lukasiewicz,linear,3,marginal,test,24.1800,38.1800,21.8200,82.2300,0.014066,20,2026-07-19T22:50:30
1,2,lukasiewicz,linear,3,raw,val,24.6800,36.9800,21.4800,75.9000,0.015457,20,2026-07-19T22:54:25
1,2,lukasiewicz,linear,3,hard,val,24.6800,38.0600,24.6800,100.0000,0.015457,20,2026-07-19T22:54:25
1,2,lukasiewicz,linear,3,marginal,val,24.6800,38.2400,22.5400,82.5400,0.015457,20,2026-07-19T22:54:25
